Id,Predicted
0,3
1,5
2,3
3,6
4,5
5,5
6,6
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,1
16,6
17,2
18,6
19,3
20,5
21,0
22,3
23,0
24,3
25,1
26,3
27,0
28,0
29,2
30,3
31,2
32,2
33,2
34,0
35,5
36,2
37,3
38,3
39,6
40,6
41,3
42,3
43,3
44,6
45,1
46,3
47,2
48,1
49,3
50,6
51,3
52,3
53,5
54,0
55,0
56,0
57,2
58,6
59,5
60,6
61,3
62,0
63,0
64,3
65,1
66,3
67,3
68,5
69,1
70,5
71,0
72,3
73,3
74,3
75,5
76,3
77,3
78,3
79,3
80,1
81,3
82,3
83,6
84,0
85,1
86,3
87,3
88,3
89,2
90,2
91,2
92,3
93,6
94,3
95,6
96,4
97,6
98,3
99,6
100,3
101,0
102,5
103,3
104,6
105,2
106,0
107,2
108,6
109,0
110,5
111,3
112,6
113,3
114,5
115,3
116,3
117,0
118,5
119,3
120,3
121,3
122,3
123,6
124,0
125,3
126,2
127,3
128,3
129,0
130,3
131,6
132,3
133,1
134,5
135,5
136,3
137,0
138,5
139,6
140,5
141,3
142,3
143,3
144,5
145,3
146,3
147,1
148,3
149,2
150,5
151,3
152,2
153,3
154,3
155,1
156,0
157,3
158,3
159,6
160,1
161,5
162,3
163,5
164,3
165,3
166,3
167,3
168,3
169,3
170,6
171,3
172,1
173,3
174,3
175,3
176,3
177,0
178,3
179,1
180,3
181,3
182,5
183,0
184,3
185,0
186,3
187,6
188,1
189,3
190,0
191,3
192,5
193,3
194,6
195,3
196,3
197,3
198,0
199,2
200,5
201,3
202,6
203,6
204,3
205,2
206,0
207,3
208,1
209,5
210,3
211,3
212,3
213,6
214,3
215,3
216,3
217,0
218,5
219,0
220,2
221,3
222,3
223,6
224,0
225,5
226,3
227,3
228,0
229,1
230,0
231,3
232,5
233,0
234,3
235,0
236,2
237,3
238,3
239,5
240,0
241,3
242,6
243,3
244,3
245,6
246,3
247,1
248,2
249,0
250,3
251,3
252,2
253,4
254,3
255,0
256,1
257,2
258,5
259,3
260,3
